Id,Default
0,No Error
1,uniVAL plc server license not installed
2,uniVAL plc server demo period has expired. Reboot is needed
3,Lifebit Error. The lifebit period seems to be not stable.
4,Not defined
5,Try to load a non-existing server.
6,Error while loading server. check event logger for more details
7,ArmIO error: IO signal not responding
8,"Controller IO error: IO signal not responding (UsrIn, Valves, Fout, Fin)"
9,unknown server Key or server not ready
10,Robot model could not be identified. Check event logger for more information
20,Invalid function code
21,BankID not defined in user database or user frame not defined in plc database (range: [0..31]).
22,Command not supported for this controller.
23,TCP not defined
24,Mdesc not defined
25,Joint not defined
26,Point not defined
27,Invalid  value for VEL
28,Invalid value for ACCEL
29,Invalid value for DECEL
30,Invalid value for TVEL
31,Invalid value for RVEL
32,Invalid value for LEAVE
33,Invalid value for REACH
34,Invalid value for BLEND. Range is [1..3]
35, Userframe cannot be computed. Check the position of the 3 construction points
36,Invalid point index for Userframe computation range is: [1..3]
37,Invalid configuration for a point
38,Try to access a datatype that does not exist. (1=Point 2=Joint 3=TCP 4=Mdesc)
39,Invalid size for a bank
40,Position not reachable.
41,Motion stack is locked because a previous motion has failed.
43,Change in configuration detected - Shoulder
44,Change in configuration detected - Elbow
45,Change in configuration detected - Wrist
46,Robot powering ON/OFF sequence has failed.
47,
48,"Cannot execute movement, no database has been loaded."
49,
50,Cannot change monitor speed. Robot not in ‘Remote’ working mode.
51,User-frame number is out of range [0..31]
52,Tool number is out of range [0..31]
60,uniVALplc client library initialization failed.
61,Parameter AxesGroup not in range.
62,Index parameter not in range.
63,Invalid Buffer mode (0=$'Aborted$' 1=$'Buferred$' 6=$'Blending Joint$' 7=$'Blending Cartesian$')
64,Invalid Transition Mode (0=’None’ 3=’Corner distance’ 10=’Blending distances).
65,Communication reset during transaction. (Communication protocol aborted)
66,Data of the profinet module cannot be read at specified address.
67,Invalid inpt/output signal number.
68,Operation timeout. Server acknowledgment missed.
90,RemoteMCP mode not activated. Dummy plug not detected. Check that dummy plug is installed on J110.
92,Invalid Jog mode selected. (1=Joint 2=Frame 3=Tool)
93,Cannot jog: Manual mode requested
94,Cannot jog: Robot power is OFF
110,Internal error #10 while loading a data base. Please contact your local Stäubli business unit
111,Internal error #11 while loading a data base. Please contact your local Stäubli business unit
112,Internal error #12 while loading a data base. Please contact your local Stäubli business unit
113,Internal error #13 while loading a data base. Please contact your local Stäubli business unit
114,Internal error #14 while loading a data base. Please contact your local Stäubli business unit
120,Internal error #20 while loading a data base. Please contact your local Stäubli business unit
121,Internal error #21 while loading a data base .Please contact your local Stäubli business unit
122,Internal error #22 while loading a data base. Please contact your local Stäubli business unit
123,Internal error #23 while loading a data base. Please contact your local Stäubli business unit
130,Internal error #30 while loading a data base. Please contact your local Stäubli business unit
131,Internal error #31 while loading a data base. Please contact your local Stäubli business unit
132,"Cannot load database, Device not found."
133,"Cannot load database, Device not ready"
134,"Cannot load database, Device timeout"
139,"Cannot load database, File not found"
142,"Cannot load database, No answer from FTP server."
199,Not response from RSI board.
200,Enveloppe error.(0x1503)
201,internal DSI board voltage error
202,redundancy check error in DSI board
203,internal DSI error
204,communication error with one encoder
205,shortcut on RBR signal enable1 (J1204)
206,shortcut on RBR signal enable2 (J1204)
207,shortcut on RBR signal mode1 (J1204)
208,shortcut on RBR signal mode2 (J1204)
209,shortcut on RBR signal select1 (J1204)
210,shortcut on RBR signal select2 (J1204)
211,shortcut on RBR signal select3 (J1204)
212,shortcut on RBR signal select4 (J1204)
213,invalid voltage on a RBR input
214,open wire on brake 1
215,open wire on brake 2
216,open wire on brake 3
217,open wire on brake 4
218,open wire on brake 5
219,open wire on brake 6
220,DSI board alarm: unexpected encoder feedback on axis 1
221,DSI board alarm: unexpected encoder feedback on axis 1
222,DSI board alarm: unexpected encoder feedback on axis 2
223,DSI board alarm: unexpected encoder feedback on axis 2
224,DSI board alarm: unexpected encoder feedback on axis 3
225,DSI board alarm: unexpected encoder feedback on axis 3
226,DSI board alarm: unexpected encoder feedback on axis 4
227,DSI board alarm: unexpected encoder feedback on axis 4
228,DSI board alarm: unexpected encoder feedback on axis 5
229,DSI board alarm: unexpected encoder feedback on axis 5
230,DSI board alarm: unexpected encoder feedback on axis 6
231,DSI board alarm: unexpected encoder feedback on axis 6
232,"cut wire, disconnected or shortcut on valve A1"
233,"cut wire, disconnected or shortcut on valve A2"
234,"cut wire, disconnected or shortcut on valve B1"
235,"cut wire, disconnected or shortcut on valve B2"
236,"cut wire, disconnected or shortcut on brake 1"
237,"cut wire, disconnected or shortcut on brake 2"
238,"cut wire, disconnected or shortcut on brake 3"
239,"cut wire, disconnected or shortcut on brake 4"
240,"cut wire, disconnected or shortcut on brake 5"
241,"cut wire, disconnected or shortcut on brake 6"
242,shortcut on a valve signal
243,shortcut on a brake signal
244,shortcut on a RBR signal
245,DSI temperature is too high
246,invalid brake power supply
247,unexpected voltage on encoder 1 power supply
248,unexpected voltage on encoder 2 power supply
249,unexpected voltage on encoder 3 power supply
250,unexpected voltage on encoder 4 power supply
251,unexpected voltage on encoder 5 power supply
252,unexpected voltage on encoder 6 power supply
253,DSI in standalone mode: please check if RBR is not activated or press update button
254,An encoder change detected. Encoder validation procedure is required (calibration page).
255,safety alarm: reboot is required after validation of the faulty safety signal
256,unexpected STO feedback from the drives: STO1 OFF
257,unexpected STO feedback from the drives: STO1 ON
258,unexpected STO feedback from the drives: STO2 OFF
259,unexpected STO feedback from the drives: STO2 ON
260,diagnostic is missing. Check safety board I/O on control panel
261,diagnostic is missing. Check safety board I/O on control panel
262,inconsistent safety stop signal from the MCP (MCPES1 off)
263,inconsistent safety stop signal from the MCP (MCPES2 off)
264,"inconsistent safety stop signal from user stop USIA (USIA1 (J100-1, J101-7) off)"
265,"inconsistent safety stop signal from user stop USIA (USIA2 (J100-2, J101-8) off)"
266,inconsistent safety stop signal from user stop USIB (USIB1 (J100-5) off)
267,inconsistent safety stop signal from user stop USIB (USIB2 (J100-6) off)
268,inconsistent safety stop signal from user stop USIC (USIC1 (J100-9) off)
269,inconsistent safety stop signal from user stop USIC (USIC2 (J100-10) off)
270,inconsistent safety stop signal from user stop USID (USID1 (J100-13) off)
271,inconsistent safety stop signal from user stop USID (USID2 (J100-14) off)
272,communication lost between the CPU and the safety board
273,drive error
274,interruption or too much delay in the communication between the MCP and the safety board
275,safety stop request from MCP
276,safety stop request from MCP
277,safety stop request from MCP
278,"ESTOP on WMS (J101 5-7,6-8) or safety stop request from user USIA (J100 1-3,2-4)"
279,user stop USIA1 (J100-1)
280,user stop USIA2 (J100-2)
281,user stop USIB (J100-5/6)
282,user stop USIB1 (J100-5)
283,user stop USIB2 (J100-6)
284,user stop USIC (J100-9/10)
285,user stop USIC1 (J100-9)
286,user stop USIC2 (J100-10)
287,user stop USID (J100-13/14)
288,user stop USID1 (J100-13)
289,user stop USID2 (J100-14)
290,no working mode request from the CPU (safety need a WMS and there is no WMS connected)
291,SS1 safety stop condition from external safety PLC
292,SS2 safety stop condition from external safety PLC
293,diagnostic is missing. Check safety board I/O on control panel
294,diagnostic is missing. Check safety board I/O on control panel
295,WMS stop (WMS signal WMS-Local (J101-1))
296,WMS stop (WMS signal WMS-Remote (J101-2))
297,WMS stop (WMS signal WMS-Manu (J101-3))
298,working mode change
299,working mode change
300,working mode change
301,arm power is not allowed in brake release mode
302,diagnostic is missing. Check safety board I/O on control panel
303,brake test timeout
304,activation of brake test mode
305,the MCP plug was not placed in time after the MCP removal request
306,a safety restart is needed
307,safety reset signal activated
308,the enabling device is released
309,release the enabling device and press it again
310,safe velocity required but disabled
311,safe referencing required but not defined
312,safety overspeed
313,safe joint limits overpassed
314,movement detected in Safe Operating Stop mode
315,the enabling device was not released 1s after activation of service auto
316,safety stop request from Zone1
317,safety stop request from Zone2
318,diagnostic is missing. Check safety board I/O on control panel
319,diagnostic is missing. Check safety board I/O on control panel
320,diagnostic is missing. Check safety board I/O on control panel
321,diagnostic is missing. Check safety board I/O on control panel
322,diagnostic is missing. Check safety board I/O on control panel
323,diagnostic is missing. Check safety board I/O on control panel
324,diagnostic is missing. Check safety board I/O on control panel
325,manual slow working mode expected
326,brake release mode expected to open brakes without arm power
327,a brake is still in closing phase
328,no brake is selected
329,several brakes are selected
330,no communication between CPU and safety board RSI9
331,diagnostic is missing. Check safety board I/O on control panel
332,diagnostic is missing. Check safety board I/O on control panel
333,diagnostic is missing. Check safety board I/O on control panel
334,diagnostic is missing. Check safety board I/O on control panel
335,diagnostic is missing. Check safety board I/O on control panel
336,diagnostic is missing. Check safety board I/O on control panel
337,diagnostic is missing. Check safety board I/O on control panel
338,diagnostic is missing. Check safety board I/O on control panel
339,diagnostic is missing. Check safety board I/O on control panel
340,temperature out of range
341,internal voltage out of range
342,internal error
343,the safety application contains faults
344,safety configuration is corrupted
345,the safety configuration does not match the safety application
346,the format of the safety configuration is not supported
347,internal communication error
348,test output fault
349,input deactivation fault
